scenario_name,algorithm_name,algorithm_type,makespan,total_energy,energy_efficiency,success_rate,execution_time,additional_metrics
parallel_bottleneck_run_3,Power-Aware Min-Min,heuristic,128.17699115044246,8.794365781710916,2.274183323326479,0.3333333333333333,0.0021610260009765625,"{'scheduled_tasks': 20, 'total_tasks': 60}"
parallel_bottleneck_run_4,Power-Aware Min-Min,heuristic,111.45615982241955,7.678091009988901,1.823369895171409,0.23333333333333334,0.0004076957702636719,"{'scheduled_tasks': 14, 'total_tasks': 60}"
parallel_bottleneck_run_5,Power-Aware Min-Min,heuristic,86.04341670599341,5.912034941727452,3.3829299381908173,0.3333333333333333,0.0019567012786865234,"{'scheduled_tasks': 20, 'total_tasks': 60}"
parallel_bottleneck_run_1,Energy-Efficient HEFT,heuristic,85.4661751951431,10.076783263812997,5.95428108645222,1.0,0.0002989768981933594,"{'scheduled_tasks': 60, 'total_tasks': 60}"
parallel_bottleneck_run_2,Energy-Efficient HEFT,heuristic,186.03659506762133,23.357702614148593,2.5687457791185278,1.0,0.0002720355987548828,"{'scheduled_tasks': 60, 'total_tasks': 60}"
parallel_bottleneck_run_3,Energy-Efficient HEFT,heuristic,261.6360294117647,37.85471983932461,1.5850071075594176,1.0,0.0003070831298828125,"{'scheduled_tasks': 60, 'total_tasks': 60}"
parallel_bottleneck_run_4,Energy-Efficient HEFT,heuristic,147.17397660818716,16.597111848475574,3.6150868023168097,1.0,0.00031375885009765625,"{'scheduled_tasks': 60, 'total_tasks': 60}"
parallel_bottleneck_run_5,Energy-Efficient HEFT,heuristic,224.28363636363633,23.664076746860665,2.535488734330603,1.0,0.0002639293670654297,"{'scheduled_tasks': 60, 'total_tasks': 60}"
parallel_bottleneck_run_1,Energy-Efficient HEFT,heuristic,156.80359355638166,14.757567940549512,4.0657105724810805,1.0,0.000293731689453125,"{'scheduled_tasks': 60, 'total_tasks': 60}"
parallel_bottleneck_run_2,Energy-Efficient HEFT,heuristic,318.5038363171356,26.26030827379885,2.284817046868594,1.0,0.00026297569274902344,"{'scheduled_tasks': 60, 'total_tasks': 60}"
parallel_bottleneck_run_3,Energy-Efficient HEFT,heuristic,221.7123583378306,14.252414673009493,4.0694858612160285,0.9666666666666667,0.000247955322265625,"{'scheduled_tasks': 58, 'total_tasks': 60}"
parallel_bottleneck_run_4,Energy-Efficient HEFT,heuristic,167.90623416117577,11.061964700736418,4.8815921457790505,0.9,0.00023698806762695312,"{'scheduled_tasks': 54, 'total_tasks': 60}"
parallel_bottleneck_run_5,Energy-Efficient HEFT,heuristic,78.44721998388398,13.549265479505742,4.428284329564168,1.0,0.0003268718719482422,"{'scheduled_tasks': 60, 'total_tasks': 60}"
complex_heterogeneous_run_1,Random,heuristic,25.919266055045874,6.647259247607232,2.858320894711501,0.36538461538461536,0.0005791187286376953,"{'scheduled_tasks': 19, 'total_tasks': 52}"
complex_heterogeneous_run_2,Random,heuristic,20.173932584269664,6.609704582217634,2.571975765109959,0.3617021276595745,0.0004551410675048828,"{'scheduled_tasks': 17, 'total_tasks': 47}"
complex_heterogeneous_run_3,Random,heuristic,24.739573070607552,10.407680680967614,1.7294919542368703,0.35294117647058826,0.0004961490631103516,"{'scheduled_tasks': 18, 'total_tasks': 51}"
complex_heterogeneous_run_4,Random,heuristic,55.25685557586837,9.957657383905264,1.807654080275318,0.375,0.0004668235778808594,"{'scheduled_tasks': 18, 'total_tasks': 48}"
complex_heterogeneous_run_5,Random,heuristic,13.485198000768934,4.392479003001474,4.325575600251452,0.37254901960784315,0.0005309581756591797,"{'scheduled_tasks': 19, 'total_tasks': 51}"
complex_heterogeneous_run_1,Min-Min,heuristic,2.652418645558487,1.8556667378911913,10.238907456837802,0.36538461538461536,0.0003509521484375,"{'scheduled_tasks': 19, 'total_tasks': 52}"
